symbol,date,returns,year
AMCX,2018-12-31,0.014792880370085859,2018
AMCX,2019-12-31,-0.2802478265260965,2019
AMCX,2020-12-31,-0.09443037974683532,2020
AMCX,2021-12-30,-0.002516074923120004,2021
AMGN,2013-12-31,0.3033612235682017,2013
AMGN,2014-12-31,0.4233321442685447,2014
AMGN,2015-12-31,0.03955512545951767,2015
AMGN,2016-12-30,-0.07556062977376754,2016
AMGN,2017-12-29,0.22268278985117074,2017
AMGN,2018-12-31,0.1523307591436629,2018
AMGN,2019-12-31,0.2760108494320681,2019
AMGN,2020-12-31,-0.019890048624016554,2020
AMGN,2021-12-30,0.015467224350544262,2021
AMP,2013-12-31,0.8068285215216642,2013
AMP,2014-12-31,0.1722417694583689,2014
AMP,2015-12-31,-0.17842231975130518,2015
AMP,2016-12-30,0.07752162118456218,2016
AMP,2017-12-29,0.5639754400017021,2017
AMP,2018-12-31,-0.36826594983030336,2018
AMP,2019-12-31,0.6396280454244434,2019
AMP,2020-12-31,0.1981537631858883,2020
AMP,2021-12-30,0.5808023090214975,2021
AMR,2021-12-30,3.4631969516728622,2021
AMT,2013-12-31,0.02439581381535416,2013
AMT,2014-12-31,0.257638506650002,2014
AMT,2015-12-31,9.921870088858142e-6,2015
AMT,2016-12-30,0.11224402786516219,2016
AMT,2017-12-29,0.37714840696008833,2017
AMT,2018-12-31,0.1332329295841661,2018
AMT,2019-12-31,0.4786610728338978,2019
AMT,2020-12-31,-0.004822546213976819,2020
AMT,2021-12-30,0.32268318404726215,2021
AMZN,2013-12-31,0.5498426493322657,2013
AMZN,2014-12-31,-0.22177085935971874,2014
AMZN,2015-12-31,1.177831486814922,2015
AMZN,2016-12-30,0.10945564863833668,2016
AMZN,2017-12-29,0.5595636294261914,2017
AMZN,2018-12-31,0.2843168343310971,2018
AMZN,2019-12-31,0.23027756991021753,2019
AMZN,2020-12-31,0.7625606069394864,2020
AMZN,2021-12-30,0.03560406991279419,2021
AN,2013-12-31,0.25511490275322046,2013
AN,2014-12-31,0.2157375974187481,2014
AN,2015-12-31,-0.012415163052474809,2015
AN,2016-12-30,-0.18454572577941664,2016
AN,2017-12-29,0.05508735641984153,2017
AN,2018-12-31,-0.30450029984413407,2018
AN,2019-12-31,0.36218486380434545,2019
AN,2020-12-31,0.43512234350971957,2020
AN,2021-12-30,0.6618426900438072,2021
ANEN,2013-12-31,0.421533701293362,2013
ANEN,2014-02-18,-3.5727045373346034e-4,2014
ANF,2013-12-31,-0.29419514272357883,2013
ANF,2014-12-31,-0.11066934627113079,2014
ANF,2015-12-31,-0.023154103217675637,2015
ANF,2016-12-30,-0.5368232565306303,2016
ANF,2017-12-29,0.5414799549857192,2017
ANF,2018-12-31,0.1923685139954303,2018
ANF,2019-12-31,-0.09741028788062656,2019
ANF,2020-12-31,0.19483819362305033,2020
ANF,2021-12-30,0.7416501600368293,2021
ANGI,2013-12-31,0.26355296080066726,2013
ANGI,2014-12-31,-0.5887788778877887,2014
ANGI,2015-12-31,0.5008025682182984,2015
ANGI,2016-12-30,-0.11978609625668446,2016
ANGI,2017-12-29,0.27095990279465365,2017
ANGI,2018-12-31,0.5363288718929253,2018
ANGI,2019-12-31,-0.47293092719352825,2019
ANGI,2020-12-31,0.5584415584415583,2020
ANGI,2021-12-30,-0.3015151515151514,2021
ANTM,2013-12-31,0.5462684675014677,2013
ANTM,2014-12-31,0.38212878034736475,2014
ANTM,2015-12-31,0.1287467806274507,2015
ANTM,2016-12-30,0.0514699288905347,2016
ANTM,2017-12-29,0.5871843390833384,2017
ANTM,2018-12-31,0.181099383845313,2018
ANTM,2019-12-31,0.16334807391430028,2019
ANTM,2020-12-31,0.07743383912155921,2020
ANTM,2021-12-30,0.4725519790759989,2021
AOD,2013-12-31,0.10527119864346757,2013
AOD,2014-12-31,0.10422454525117009,2014
AOD,2015-12-31,-0.018150635866582054,2015
AOD,2016-12-30,0.08434001099635258,2016
AOD,2017-12-29,0.3546075508184081,2017
AOD,2018-12-31,-0.17572379889572076,2018
AOD,2019-12-31,0.3493048536802785,2019
AOD,2020-12-31,0.08207064861193114,2020
AOD,2021-12-30,0.25938966510174266,2021
APAM,2013-12-31,0.7048296150882887,2013
APAM,2014-12-31,-0.1703453793410835,2014
APAM,2015-12-31,-0.23101497189157605,2015
APAM,2016-12-30,-0.08759615023712919,2016
APAM,2017-12-29,0.45236485447891495,2017
APAM,2018-12-31,-0.3816666976305898,2018
APAM,2019-12-31,0.6693619688409689,2019
APAM,2020-12-31,0.7101185718853811,2020
APAM,2021-12-30,0.02421285234166115,2021
APD,2013-12-31,0.33924183607292835,2013
APD,2014-12-31,0.3209197349256503,2014
APD,2015-12-31,-0.07633629289609412,2015
APD,2016-12-30,0.22454372437209158,2016
APD,2017-12-29,0.17039952493591448,2017
APD,2018-12-31,0.002606255794296297,2018
APD,2019-12-31,0.5001747015088558,2019
APD,2020-12-31,0.18815402794310487,2020
APD,2021-12-30,0.13055416719949764,2021
APH,2013-12-31,0.3201564665120751,2013
APH,2014-12-31,0.2177100926357376,2014
APH,2015-12-31,-0.019930577485781198,2015
APH,2016-12-30,0.2987970300238434,2016
APH,2017-12-29,0.3180741916181944,2017
APH,2018-12-31,-0.06824103769826495,2018
APH,2019-12-31,0.3490735962674578,2019
APH,2020-12-31,0.2208874677785324,2020
APH,2021-12-30,0.34263918715244523,2021
AR.TO,2013-12-31,-0.4509803921568627,2013
AR.TO,2014-12-31,-0.6560150375939849,2014
AR.TO,2015-12-31,-0.3497267759562842,2015
AR.TO,2016-12-30,0.7815126050420169,2016
AR.TO,2017-12-29,0.13207547169811318,2017
AR.TO,2018-12-31,-0.35,2018
AR.TO,2019-12-31,0.25,2019
AR.TO,2020-12-31,0.40512820512820524,2020
AR.TO,2021-12-30,-0.13138686131386867,2021
ARI,2013-12-31,0.06495553669697607,2013
ARI,2014-12-31,0.10971527742478937,2014
ARI,2015-12-31,0.16847995010149708,2015
ARI,2016-12-30,0.0795530260732924,2016
ARI,2017-12-29,0.2250657837880401,2017
ARI,2018-12-31,-3.311277627254805e-4,2018
ARI,2019-12-31,0.21145969734046832,2019
ARI,2020-12-31,-0.2902670552262471,2020
