symbol,year,date_form,returns,cum_holding_sum,cum_G_holding_sum,cum_S_holding_sum,cum_E_holding_sum
EAF,2009,2009-12-31,NA,NA,NA,NA,NA
EAF,2010,2010-12-31,NA,NA,NA,NA,NA
EAF,2011,2011-12-31,NA,NA,NA,NA,NA
EAF,2012,2012-12-31,NA,0,0,0,0
EAF,2013,2013-12-31,NA,NA,NA,NA,NA
EAF,2014,2014-12-31,NA,NA,NA,NA,NA
EAF,2015,2015-12-31,NA,NA,NA,NA,NA
EAF,2016,2016-12-31,NA,NA,NA,NA,NA
EAST,2013,2013-12-31,NA,NA,NA,NA,NA
EAST,2014,2014-12-31,NA,NA,NA,NA,NA
EAST,2015,2015-12-31,NA,NA,NA,NA,NA
EAST,2016,2016-12-31,NA,4.1,4.1,0,0
EAST,2017,2017-12-31,-0.311111111111111,NA,NA,NA,NA
EAST,2018,2018-12-31,0.5334987593052107,NA,NA,NA,NA
EAST,2019,2019-12-31,-0.5226537216828478,NA,NA,NA,NA
EAST,2020,2020-12-31,-0.5661016949152542,NA,NA,NA,NA
EBIX,2004,2004-12-31,0.2234916640754705,NA,NA,NA,NA
EBIX,2005,2005-12-31,0.3179993022462706,NA,NA,NA,NA
EBIX,2006,2006-12-31,0.4137587465623458,NA,NA,NA,NA
EBIX,2007,2007-12-31,1.6186038471760469,0,0,0,0
EBIX,2008,2008-12-31,-0.02035782348394188,0,0,0,0
EBIX,2009,2009-12-31,1.0430963904329866,0,0,0,0
EBIX,2010,2010-12-31,0.4542286004432672,0.12,0.12,0,0
